,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,9.875645355129299,0.06513328751719694,151.62209265917775,0.0,9.747978253770377,10.00331245648822
C(ExpGroup)[T.low],-1.1344931978228283,0.04299233000347083,-26.388269668827885,1.0168595263887195e-150,-1.2187620311864162,-1.0502243644592404
C(ExpGroup)[T.mid],-0.41151063744151445,0.019499840845675,-21.10328185231246,1.0023486052883545e-97,-0.44973207923608594,-0.37328919564694296
C(CountryGroup)[T.Canada],1.0690158846624551,0.05456290436044249,19.592356697153384,1.2498117232638466e-84,0.9620676849484059,1.1759640843765045
C(CountryGroup)[T.France],0.7684104800448283,0.05441344368665085,14.121702799584819,4.7399209133968525e-45,0.6617552366933009,0.8750657233963556
C(CountryGroup)[T.Germany],0.9197131961920844,0.04819548676035572,19.082973490136325,2.00741121323941e-80,0.8252457076340662,1.0141806847501025
C(CountryGroup)[T.India],-0.050787593808430315,0.0538913948167798,-0.9424063708333807,0.34599671326172254,-0.1564195744240403,0.05484438680717968
C(CountryGroup)[T.Italy],0.6142088856936789,0.06145079364457836,9.995133492435682,1.8314030488906583e-23,0.49375980351373805,0.7346579678736198
C(CountryGroup)[T.Netherlands],0.9479893373266114,0.05959939217822755,15.906023579766044,1.34482341277627e-56,0.8311691685282998,1.064809506124923
C(CountryGroup)[T.Other],0.5314837801368223,0.04391588956357185,12.102311610185101,1.3682733319193284e-33,0.44540468697421404,0.6175628732994305
C(CountryGroup)[T.Ukraine],-0.34830184403005604,0.05974239639031491,-5.830061481874549,5.631219183703738e-09,-0.465402313945281,-0.23120137411483108
C(CountryGroup)[T.United Kingdom of Great Britain and Northern Ireland],1.1120909935723058,0.050187461902712914,22.158741474674795,2.021457372533437e-107,1.0137190545850563,1.2104629325595553
C(CountryGroup)[T.United States of America],1.4906888473314739,0.04477502106978648,33.292867579181745,3.29595845313144e-236,1.402925779149862,1.5784519155130858
"C(OrgSize)[T.10,000 or more employees]",0.11246001200051602,0.025876235786453605,4.346073089169702,1.39322317491394e-05,0.06174026265477161,0.16317976134626042
C(OrgSize)[T.100 to 499 employees],-0.06137464407217979,0.02445749602940665,-2.5094410318368463,0.012100562708460142,-0.10931353589837978,-0.013435752245979801
C(OrgSize)[T.20 to 99 employees],-0.1458811702178144,0.02427937292416133,-6.0084406081444754,1.9076088244196313e-09,-0.19347092473805982,-0.09829141569756901
"C(OrgSize)[T.5,000 to 9,999 employees]",-0.019143870249733165,0.035737810880970666,-0.5356755150306846,0.592189153259789,-0.08919319369102616,0.050905453191559834
C(OrgSize)[T.500 to 999 employees],-0.025457382034030168,0.031238916467820305,-0.8149252570989206,0.4151253980941967,-0.08668846781312767,0.03577370374506733
C(OrgSize)[T.I don’t know],-0.40439801031885164,0.059977554447565355,-6.742489153544793,1.602099169941482e-11,-0.5219594111754549,-0.2868366094622485
"C(OrgSize)[T.Just me - I am a freelancer, sole proprietor, etc.]",-0.8288576925726063,0.04357643190272325,-19.020779269465795,6.4401096909568265e-80,-0.9142714181904983,-0.7434439669547144
C(OrgSize)[T.Less than 20 employees],-0.29820326602787794,0.025867078229715543,-11.52829335341432,1.2039774024440528e-30,-0.348905065738822,-0.24750146631693387
"C(RemoteWork)[T.Hybrid (some remote, leans heavy to in-person)]",-0.017102227637719083,0.022010128514861303,-0.7770162553195276,0.43715893775386205,-0.060244059029045456,0.02603960375360729
C(RemoteWork)[T.In-person],-0.2914810982237447,0.024235508516169717,-12.027026296117166,3.390530017757459e-33,-0.33898487455933857,-0.2439773218881508
C(RemoteWork)[T.Remote],0.03601023370470607,0.020488195500639256,1.7576088486456751,0.07883032883032406,-0.004148472102227303,0.07616893951163944
"C(RemoteWork)[T.Your choice (very flexible, you can come in when you want or just as needed)]",0.01208702407479989,0.024560988559535826,0.49212286571857433,0.6226382240031207,-0.03605472241815409,0.06022877056775387
"C(EdLevel)[T.Bachelor’s degree (B.A., B.S., B.Eng., etc.)]",-0.004519488416536155,0.038605034349117405,-0.117069923462961,0.9068058915714315,-0.08018882772191281,0.0711498508888405
"C(EdLevel)[T.Master’s degree (M.A., M.S., M.Eng., MBA, etc.)]",0.10360632056935326,0.03958548116233297,2.617280819310552,0.008870421715882504,0.02601521733264156,0.18119742380606496
C(EdLevel)[T.Other (please specify):],-0.0058606308055997244,0.08371984782454303,-0.07000288411754185,0.9441921072048676,-0.16995906196719976,0.1582378003560003
C(EdLevel)[T.Primary/elementary school],-0.3137300999376337,0.11452986421191895,-2.7392864044362,0.006163062874148407,-0.5382189341471166,-0.08924126572815075
"C(EdLevel)[T.Professional degree (JD, MD, Ph.D, Ed.D, etc.)]",0.08780224734774356,0.04713506142889597,1.8627799494903536,0.06250878712080658,-0.004586712190235556,0.18019120688572265
"C(EdLevel)[T.Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)]",-0.12154758383665769,0.0493323357603737,-2.4638521968037654,0.01375414551806734,-0.21824339867832554,-0.024851768994989823
C(EdLevel)[T.Some college/university study without earning a degree],-0.0779916507830439,0.04216510794582405,-1.849672740865544,0.06437638529859081,-0.16063905451662813,0.00465575295054034
C(Age)[T.25-34 years old],0.47855794475337504,0.025762356216939085,18.575860869384183,2.422946446265666e-76,0.42806140960574834,0.5290544799010017
C(Age)[T.35-44 years old],0.6817944097535613,0.028247307500275775,24.13661584371909,8.653884809577111e-127,0.6264271466040974,0.7371616729030253
C(Age)[T.45-54 years old],0.7407834997186303,0.0318482363910409,23.259796574701923,5.195511447092585e-118,0.6783580920902438,0.8032089073470169
C(Age)[T.55-64 years old],0.6867403424171327,0.03982722270033123,17.242988485145393,4.065971605687377e-66,0.6086754040246853,0.76480528080958
C(Age)[T.65 years or older],0.5353295130548592,0.075831563726687,7.0594550177588316,1.7297518384151687e-12,0.38669282816551764,0.6839661979442008
C(Age)[T.Prefer not to say],0.3298893841392877,0.29549037478601087,1.1164132990057223,0.26425950465398085,-0.24929832565397558,0.909077093932551
AI_MostlyShare,-0.35940473005042073,0.043568116138321816,-8.24926028266561,1.6975985336197312e-16,-0.4448021560221995,-0.27400730407864193
