,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,9.906389475511153,0.06509846324978111,152.17547359759624,0.0,9.778790633283622,10.033988317738684
C(ExpGroup)[T.low],-1.143612871907449,0.043037763739124435,-26.572311675846258,9.197090461690641e-153,-1.2279707591912596,-1.0592549846236383
C(ExpGroup)[T.mid],-0.41272029984652847,0.019527622708916788,-21.13520452533479,5.1796442223857345e-98,-0.4509961964610652,-0.37444440323199174
C(CountryGroup)[T.Canada],1.072383583765368,0.054640660260883996,19.626109542696412,6.521937607547992e-85,0.9652829758587728,1.1794841916719632
C(CountryGroup)[T.France],0.7670899447321412,0.05449255325840543,14.076968298669659,8.875024575026314e-45,0.6602796398695602,0.8739002495947222
C(CountryGroup)[T.Germany],0.9239161370348805,0.04826253329975537,19.143548294419173,6.4268978737076215e-81,0.829317231552466,1.018515042517295
C(CountryGroup)[T.India],-0.06055684361684671,0.05395419499594707,-1.1223750742902496,0.2617173036143355,-0.16631191787083816,0.04519823063714472
C(CountryGroup)[T.Italy],0.6108508201864951,0.0615388175632342,9.92626840057197,3.647968649318897e-23,0.4902292036209706,0.7314724367520195
C(CountryGroup)[T.Netherlands],0.9537932281729755,0.05968130227182327,15.981441286734125,4.086722973216206e-57,0.8368125086236302,1.0707739477223208
C(CountryGroup)[T.Other],0.5315297505635108,0.04397996794995251,12.08572391795217,1.6718711183635978e-33,0.44532505829473035,0.6177344428322913
C(CountryGroup)[T.Ukraine],-0.34558761805451205,0.059828465668560565,-5.776307551810006,7.756073511140714e-09,-0.4628567910957609,-0.2283184450132632
C(CountryGroup)[T.United Kingdom of Great Britain and Northern Ireland],1.112968521175704,0.05026055456485078,22.14397614215836,2.781720108514377e-107,1.0144533143330878,1.2114837280183204
C(CountryGroup)[T.United States of America],1.493848281650769,0.04483836040584112,33.316300331449334,1.5749300526850046e-236,1.405961062973831,1.581735500327707
"C(OrgSize)[T.10,000 or more employees]",0.1112150050288863,0.025913456955695312,4.29178573970399,1.781266825183383e-05,0.060422299017184565,0.16200771104058803
C(OrgSize)[T.100 to 499 employees],-0.06176283046612102,0.024493127517493298,-2.5216391994860285,0.011689122858307638,-0.10977156304974238,-0.013754097882499663
C(OrgSize)[T.20 to 99 employees],-0.14656540784218391,0.02431462720095698,-6.027869834517363,1.6922876977871854e-09,-0.19422426375298907,-0.09890655193137877
"C(OrgSize)[T.5,000 to 9,999 employees]",-0.017446735380002104,0.03578923634466401,-0.4874855448711837,0.6259199572567091,-0.08759685711581716,0.05270338635581295
C(OrgSize)[T.500 to 999 employees],-0.02682226276810739,0.031283964862789136,-0.8573805425798589,0.3912455167851664,-0.08814164724362494,0.034497121707410164
C(OrgSize)[T.I don’t know],-0.4128312931201808,0.06005446766429549,-6.874281118066153,6.4253910057440384e-12,-0.5305434503972669,-0.2951191358430946
"C(OrgSize)[T.Just me - I am a freelancer, sole proprietor, etc.]",-0.8430148101439945,0.04359887856411797,-19.33569940117218,1.694977709532625e-82,-0.928472532945445,-0.757557087342544
C(OrgSize)[T.Less than 20 employees],-0.29914058139817223,0.025904517919161686,-11.54781503101807,9.610786983416854e-31,-0.34991576609438696,-0.24836539670195754
"C(RemoteWork)[T.Hybrid (some remote, leans heavy to in-person)]",-0.01812965545091187,0.022041815307532665,-0.8225119028520379,0.4107960265572791,-0.0613335956582671,0.025074284756443358
C(RemoteWork)[T.In-person],-0.2980217688450725,0.02425508554793535,-12.286980734662501,1.4433357734817245e-34,-0.3455639177614172,-0.25047961992872775
C(RemoteWork)[T.Remote],0.0331753362002788,0.020514583354841062,1.6171586634953536,0.10586078086013359,-0.007035092036930243,0.07338576443748784
"C(RemoteWork)[T.Your choice (very flexible, you can come in when you want or just as needed)]",0.010074710185317248,0.024595352172836368,0.4096184561424566,0.6820905137353096,-0.03813439191576622,0.05828381228640072
"C(EdLevel)[T.Bachelor’s degree (B.A., B.S., B.Eng., etc.)]",-0.004731069198857726,0.038661353592119446,-0.1223720526904181,0.9026056762858516,-0.08051079902712298,0.07104866062940753
"C(EdLevel)[T.Master’s degree (M.A., M.S., M.Eng., MBA, etc.)]",0.10382468563396169,0.03964323059880306,2.618976406960548,0.008826468223315575,0.026120388573103823,0.18152898269481954
C(EdLevel)[T.Other (please specify):],-0.00995889866099961,0.0838402121163903,-0.1187842731978573,0.9054475352492533,-0.17429325409907598,0.15437545677707676
