,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,9.851505542382752,0.06602084526574718,149.2181068377489,0.0,9.722098748013307,9.980912336752196
"C(AI_UseGroup, Treatment(reference='no_use'))[T.partial_only]",0.06334153468905787,0.017196273481507346,3.6834454137505173,0.00023074635849114195,0.029635292101814086,0.09704777727630165
"C(AI_UseGroup, Treatment(reference='no_use'))[T.mostly]",-0.0158347196939492,0.017839728119578714,-0.8876099225173135,0.37476194776207106,-0.05080219124152815,0.019132751853629747
C(ExpGroup)[T.low],-1.1529056909851179,0.042955305241128235,-26.839657744563066,9.37553568357925e-156,-1.2371019524846565,-1.0687094294855792
C(ExpGroup)[T.mid],-0.41775091298450506,0.019506951116556988,-21.415489816341882,1.5128728709547755e-100,-0.45598629154947434,-0.3795155344195358
C(CountryGroup)[T.Canada],1.077242468359397,0.05465528428136841,19.70975876392287,1.2956698933292698e-85,0.9701131956920555,1.1843717410267387
C(CountryGroup)[T.France],0.775453600429466,0.0544948741056198,14.229844791025897,1.0322412400203572e-45,0.668638746133236,0.8822684547256959
C(CountryGroup)[T.Germany],0.9256563750092331,0.048267027236396795,19.17782030527088,3.3693478790979476e-81,0.8310486606841125,1.0202640893343538
C(CountryGroup)[T.India],-0.06923482380664069,0.05387785247091686,-1.2850331004565092,0.198796518358298,-0.17484026020641535,0.03637061259313397
C(CountryGroup)[T.Italy],0.6145258242153553,0.061533875855241234,9.986788832561604,1.9913820959543344e-23,0.4939138934304362,0.7351377550002745
C(CountryGroup)[T.Netherlands],0.953944855666979,0.05968802852060024,15.98218067024516,4.0393550287123076e-57,0.8369509516660217,1.0709387596679363
C(CountryGroup)[T.Other],0.5323421237178181,0.04397792619923899,12.104757311794978,1.3284044764335342e-33,0.44614143316997745,0.6185428142656587
C(CountryGroup)[T.Ukraine],-0.3498076478330672,0.05981761466646536,-5.847903661547617,5.060378560507457e-09,-0.4670555523343755,-0.23255974333175894
C(CountryGroup)[T.United Kingdom of Great Britain and Northern Ireland],1.1213897623289515,0.05030096409431745,22.29360376127733,1.0829056814983846e-108,1.0227953488382278,1.2199841758196752
C(CountryGroup)[T.United States of America],1.4995428564638913,0.0448591841840436,33.427778140407604,4.6855350286695824e-238,1.4116148210090442,1.5874708919187384
"C(OrgSize)[T.10,000 or more employees]",0.11079473611773753,0.025910053259090293,4.276129230991305,1.911070439857329e-05,0.0600087014842181,0.16158077075125696
C(OrgSize)[T.100 to 499 employees],-0.062374643622448184,0.024490396296029095,-2.5469021762037265,0.010876272425955172,-0.11037802293014547,-0.0143712643147509
C(OrgSize)[T.20 to 99 employees],-0.14703880803133443,0.024312014520761333,-6.047989478854996,1.49432103292964e-09,-0.1946925430165694,-0.09938507304609946
"C(OrgSize)[T.5,000 to 9,999 employees]",-0.019314410371502555,0.03578227149952752,-0.5397759717897616,0.5893579205713104,-0.08945088062377574,0.050822059880770626
